City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hermanus,ZA,2020-05-08 18:57:26,-34.42,19.23,64.99,75,0,9.8
1,New Norfolk,AU,2020-05-08 18:57:26,-42.78,147.06,48.99,81,100,1.23
2,Atuona,PF,2020-05-08 18:57:26,-9.8,-139.03,81.28,74,67,17.63
3,Bluff,NZ,2020-05-08 18:57:26,-46.6,168.33,50.95,78,61,13.0
4,Canberra,AU,2020-05-08 18:57:18,-35.28,149.13,52.0,100,40,2.24
5,Torbay,CA,2020-05-08 18:57:26,47.67,-52.73,44.01,86,75,27.51
6,Padang,ID,2020-05-08 18:57:26,-0.95,100.35,79.45,74,100,4.09
7,Forestville,US,2020-05-08 18:52:28,38.85,-76.88,64.99,42,20,11.41
8,Puerto Baquerizo Moreno,EC,2020-05-08 18:57:27,-0.9,-89.6,84.2,74,40,8.05
9,Dhola,IN,2020-05-08 18:57:27,21.88,71.78,86.63,45,0,10.4
10,Ushuaia,AR,2020-05-08 18:57:27,-54.8,-68.3,42.8,100,83,4.7
11,Bathsheba,BB,2020-05-08 18:57:27,13.22,-59.52,87.8,58,20,20.8
12,Lebu,CL,2020-05-08 18:57:27,-37.62,-73.65,61.99,77,100,15.3
13,Punta Arenas,CL,2020-05-08 18:57:27,-53.15,-70.92,53.6,66,98,9.17
14,Port Alfred,ZA,2020-05-08 18:57:27,-33.59,26.89,64.99,96,8,4.43
15,Stornoway,GB,2020-05-08 18:57:27,58.21,-6.39,48.99,93,100,5.82
16,Vila Velha,BR,2020-05-08 18:57:27,-20.33,-40.29,75.2,57,40,16.11
17,Rzhev,RU,2020-05-08 18:57:27,56.26,34.33,45.37,66,87,4.54
18,Longyearbyen,SJ,2020-05-08 18:57:27,78.22,15.64,26.6,73,75,5.82
19,Faanui,PF,2020-05-08 18:57:27,-16.48,-151.75,82.09,78,100,14.2
20,Japura,ID,2020-05-08 18:57:27,-0.32,102.35,74.62,95,100,0.94
21,Puerto Ayora,EC,2020-05-08 18:57:28,-0.74,-90.35,84.2,70,20,20.8
22,Vaini,TO,2020-05-08 18:57:28,-21.2,-175.2,78.8,94,75,10.29
23,Rikitea,PF,2020-05-08 18:57:28,-23.12,-134.97,75.76,71,29,8.46
24,Saskylakh,RU,2020-05-08 18:57:28,71.92,114.08,-2.34,92,71,2.08
25,Urbano Santos,BR,2020-05-08 18:57:28,-3.21,-43.4,89.55,55,48,3.87
26,Taoudenni,ML,2020-05-08 18:57:28,22.68,-3.98,97.3,19,100,25.66
27,Provideniya,RU,2020-05-08 18:57:28,64.38,-173.3,36.09,80,100,17.72
28,Kavieng,PG,2020-05-08 18:57:28,-2.57,150.8,82.62,74,0,8.48
29,Dikson,RU,2020-05-08 18:57:28,73.51,80.55,28.8,97,100,24.81
30,Baruun-Urt,MN,2020-05-08 18:58:44,46.68,113.28,46.85,64,20,8.61
31,Timiryazevskiy,RU,2020-05-08 18:58:44,56.49,84.88,52.0,75,0,5.59
32,Sompeta,IN,2020-05-08 18:58:44,18.93,84.6,82.18,80,2,9.66
33,Dayal Bagh,IN,2020-05-08 18:58:44,27.22,78.02,93.51,17,0,6.6
34,Asosa,ET,2020-05-08 18:58:44,10.07,34.53,68.7,80,90,2.3
35,Mar Del Plata,AR,2020-05-08 18:58:44,-38.0,-57.56,62.6,59,100,20.8
36,Kahului,US,2020-05-08 18:58:44,20.89,-156.47,69.8,88,75,12.75
37,Orichi,RU,2020-05-08 18:58:44,58.4,49.06,56.1,92,100,3.31
38,Ust-Kuyga,RU,2020-05-08 18:58:44,70.02,135.6,25.79,97,100,1.01
39,Cam Ranh,VN,2020-05-08 18:58:44,11.92,109.16,86.0,89,20,11.41
40,Mount Darwin,ZW,2020-05-08 18:58:45,-16.77,31.58,61.3,70,0,3.89
41,San Juan Bautista,PE,2020-05-08 18:58:45,-14.01,-75.74,71.6,73,1,12.75
42,Gavle,SE,2020-05-08 18:58:45,60.67,17.14,51.01,46,53,1.99
43,Butaritari,KI,2020-05-08 18:58:45,3.07,172.79,82.42,75,100,3.49
44,Hobart,AU,2020-05-08 18:54:59,-42.88,147.33,53.6,81,90,3.36
45,Mahebourg,MU,2020-05-08 18:58:45,-20.41,57.7,73.4,94,20,4.7
46,Norman Wells,CA,2020-05-08 18:58:45,65.28,-126.83,39.2,60,5,12.75
47,Ardakan,IR,2020-05-08 18:58:45,32.31,54.02,77.0,9,0,4.7
48,Tuktoyaktuk,CA,2020-05-08 18:58:45,69.45,-133.04,21.2,79,5,16.11
49,Mataura,NZ,2020-05-08 18:58:45,-46.19,168.86,46.69,84,90,3.96
50,Yellowknife,CA,2020-05-08 18:55:23,62.46,-114.35,39.99,74,90,13.87
51,Guerrero Negro,MX,2020-05-08 18:58:46,27.98,-114.06,80.91,35,0,7.61
52,Ancud,CL,2020-05-08 18:58:46,-41.87,-73.82,57.99,100,90,16.11
53,Port Elizabeth,ZA,2020-05-08 18:58:46,-33.92,25.57,60.8,100,0,4.7
54,Saint-Philippe,RE,2020-05-08 18:58:46,-21.36,55.77,73.4,64,100,8.05
55,Kikwit,CD,2020-05-08 18:58:46,-5.04,18.82,75.13,89,100,1.01
56,Souillac,MU,2020-05-08 18:58:46,-20.52,57.52,73.4,94,20,4.7
57,Labuhan,ID,2020-05-08 18:58:46,-6.88,112.21,79.29,88,63,6.98
58,Cherskiy,RU,2020-05-08 18:58:46,68.75,161.3,28.22,93,0,5.88
59,Rio Grande,BR,2020-05-08 18:57:50,-32.03,-52.1,71.6,40,0,4.7
60,Castro,BR,2020-05-08 18:54:48,-24.79,-50.01,63.59,49,0,4.43
61,Laguna,US,2020-05-08 18:58:47,38.42,-121.42,84.2,28,1,3.36
62,Mount Gambier,AU,2020-05-08 18:58:47,-37.83,140.77,50.0,100,75,8.05
63,Vao,NC,2020-05-08 18:58:47,-22.67,167.48,73.13,78,41,23.24
64,Cape Town,ZA,2020-05-08 18:55:52,-33.93,18.42,66.99,93,0,9.17
65,Ngorongoro,TZ,2020-05-08 18:58:47,-3.24,35.49,53.47,100,61,6.08
66,Hays,US,2020-05-08 18:56:07,30.05,-98.03,75.99,59,99,15.99
67,Cayenne,GF,2020-05-08 18:58:47,4.93,-52.33,84.2,70,20,14.99
68,Canutama,BR,2020-05-08 18:58:47,-6.53,-64.38,86.94,54,68,3.15
69,Punuare,HN,2020-05-08 18:58:47,14.73,-85.97,90.48,43,100,4.65
70,Fukue,JP,2020-05-08 18:58:47,32.69,128.84,68.13,79,100,27.63
71,Turayf,SA,2020-05-08 18:58:48,31.67,38.66,78.8,24,0,10.29
72,Nantucket,US,2020-05-08 18:58:48,41.28,-70.1,54.0,57,20,11.41
73,Saint-Georges,GD,2020-05-08 18:58:48,12.06,-61.75,87.8,66,20,20.8
74,Nikolskoye,RU,2020-05-08 18:58:48,59.7,30.79,48.2,39,0,4.47
75,Jamestown,US,2020-05-08 18:56:30,42.1,-79.24,34.0,92,90,6.93
76,Ponta Do Sol,PT,2020-05-08 18:58:48,32.67,-17.1,69.8,68,20,14.99
77,Busselton,AU,2020-05-08 18:55:36,-33.65,115.33,46.0,67,1,6.04
78,Santarem,BR,2020-05-08 18:58:48,-2.44,-54.71,86.0,74,20,9.17
79,Hilo,US,2020-05-08 18:58:08,19.73,-155.09,75.2,64,90,4.54
80,Tura,IN,2020-05-08 18:58:48,25.52,90.22,74.52,41,0,3.47
81,Bulata,PH,2020-05-08 18:58:48,9.86,122.4,83.1,79,35,7.9
82,Nizwa,OM,2020-05-08 18:58:49,22.93,57.53,87.53,18,0,5.17
83,Suez,EG,2020-05-08 18:58:49,29.97,32.53,75.49,38,0,22.7
84,Tainan,TW,2020-05-08 18:58:49,22.99,120.21,79.0,88,20,3.8
85,Baker City,US,2020-05-08 18:58:49,44.77,-117.83,60.8,38,1,8.05
86,Tasiilaq,GL,2020-05-08 18:58:49,65.61,-37.64,33.8,74,0,4.7
87,Calama,CL,2020-05-08 18:58:49,-22.47,-68.93,73.4,11,0,20.8
88,Khani,GE,2020-05-08 18:58:49,41.96,42.96,51.8,100,90,9.17
89,Chokurdakh,RU,2020-05-08 18:58:49,70.63,147.92,18.45,97,49,8.01
90,Fairbanks,US,2020-05-08 18:57:53,64.84,-147.72,60.01,30,75,11.41
91,Aklavik,CA,2020-05-08 18:58:49,68.22,-135.01,39.2,55,5,10.29
92,Saint-Pierre,RE,2020-05-08 18:58:49,-21.34,55.48,73.4,64,100,8.05
93,Port Hardy,CA,2020-05-08 18:58:50,50.7,-127.42,53.6,66,20,4.7
94,Kaitangata,NZ,2020-05-08 18:58:50,-46.28,169.85,48.99,87,2,1.99
95,Upernavik,GL,2020-05-08 18:58:50,72.79,-56.15,22.03,86,97,5.73
96,Chernitsyno,RU,2020-05-08 18:58:50,51.51,36.05,48.2,93,75,2.24
97,Kitimat,CA,2020-05-08 18:58:50,54.05,-128.65,60.8,38,75,20.8
98,Marienburg,PL,2020-05-08 18:57:02,54.04,19.03,54.0,91,0,1.63
99,Avarua,CK,2020-05-08 18:56:50,-21.21,-159.78,78.8,83,15,5.82
100,Albany,US,2020-05-08 18:58:50,42.6,-73.97,59.0,19,100,2.46
101,Esperance,AU,2020-05-08 18:58:50,-33.87,121.9,50.0,93,90,5.82
102,Mogadishu,SO,2020-05-08 18:55:27,2.04,45.34,82.85,80,89,12.53
103,Waitati,NZ,2020-05-08 18:58:50,-45.75,170.57,51.01,82,0,5.01
104,Oksfjord,NO,2020-05-08 18:58:50,70.24,22.35,35.6,69,100,3.36
105,Bambous Virieux,MU,2020-05-08 18:55:04,-20.34,57.76,73.4,94,20,4.7
106,Rabo De Peixe,PT,2020-05-08 18:58:51,37.8,-25.58,62.6,67,40,17.22
107,Dargaville,NZ,2020-05-08 18:58:51,-35.93,173.88,56.64,80,76,4.56
108,Shingu,JP,2020-05-08 18:58:51,33.73,135.98,58.42,80,100,2.89
109,Mana,GF,2020-05-08 18:58:51,5.66,-53.78,81.68,72,63,12.28
110,Paamiut,GL,2020-05-08 18:58:51,61.99,-49.67,40.89,78,92,7.2
111,Ames,US,2020-05-08 18:56:30,42.03,-93.62,55.0,32,1,18.34
112,Gorontalo,ID,2020-05-08 18:58:51,0.54,123.06,76.64,88,21,2.73
113,Korla,CN,2020-05-08 18:58:51,41.76,86.15,61.79,29,5,3.56
114,Chuy,UY,2020-05-08 18:58:51,-33.7,-53.46,62.78,51,0,7.29
115,Port-Gentil,GA,2020-05-08 18:58:51,-0.72,8.78,78.8,94,75,12.75
116,Atbasar,KZ,2020-05-08 18:58:52,51.8,68.33,61.59,48,0,14.74
117,Sistranda,NO,2020-05-08 18:58:52,63.73,8.83,41.0,65,75,4.7
118,Vieques,PR,2020-05-08 18:58:52,18.43,-65.83,91.4,49,20,12.75
119,Vardo,NO,2020-05-08 18:55:06,70.37,31.11,33.8,69,40,8.05
120,Te Anau,NZ,2020-05-08 18:58:52,-45.42,167.72,49.37,83,100,2.75
121,Pevek,RU,2020-05-08 18:58:52,69.7,170.31,29.05,92,0,8.57
122,Clyde River,CA,2020-05-08 18:58:52,70.47,-68.59,19.4,85,75,20.8
123,Bubaque,GW,2020-05-08 18:58:52,11.28,-15.83,79.54,77,61,15.03
124,Kapaa,US,2020-05-08 18:58:52,22.08,-159.32,75.2,69,1,16.11
125,Narsaq,GL,2020-05-08 18:58:52,60.92,-46.05,55.4,47,75,6.93
126,Kottagudem,IN,2020-05-08 18:58:52,17.55,80.63,88.5,51,1,8.77
127,Hithadhoo,MV,2020-05-08 18:58:53,-0.6,73.08,85.24,78,100,14.18
128,Kaduqli,SD,2020-05-08 18:58:53,11.02,29.72,88.66,12,75,2.3
129,Victoria,HK,2020-05-08 18:58:53,22.29,114.16,82.0,80,36,7.0
130,Ribeira Grande,PT,2020-05-08 18:58:53,38.52,-28.7,64.4,72,75,19.46
131,Flinders,AU,2020-05-08 18:58:53,-34.58,150.86,72.0,44,0,14.0
132,Grand Gaube,MU,2020-05-08 18:58:53,-20.01,57.66,73.4,94,20,4.7
133,Mahajanga,MG,2020-05-08 18:58:53,-15.72,46.32,80.6,83,20,5.82
134,Tual,ID,2020-05-08 18:58:53,-5.67,132.75,82.89,78,0,19.01
135,Lagoa,PT,2020-05-08 18:58:54,39.05,-27.98,60.73,73,77,25.39
136,Muzaffarabad,PK,2020-05-08 18:58:54,34.37,73.47,68.58,51,100,5.86
137,Wuan,CN,2020-05-08 18:58:54,31.68,112.0,65.8,81,44,4.38
138,Okhotsk,RU,2020-05-08 18:58:54,59.38,143.3,32.27,92,100,1.99
139,Revda,RU,2020-05-08 18:58:54,56.8,59.93,60.8,48,6,6.71
140,Strezhevoy,RU,2020-05-08 18:58:54,60.73,77.59,60.8,51,100,6.71
141,Alugan,PH,2020-05-08 18:58:54,12.22,125.48,80.01,79,100,5.03
142,Isangel,VU,2020-05-08 18:58:54,-19.55,169.27,71.6,94,20,19.89
143,Cidreira,BR,2020-05-08 18:58:54,-30.18,-50.21,63.43,67,0,6.89
144,San Rafael,AR,2020-05-08 18:58:54,-34.62,-68.33,77.02,19,100,13.71
145,Maceio,BR,2020-05-08 18:55:08,-9.67,-35.74,86.0,58,40,6.93
146,Torun,PL,2020-05-08 18:58:55,53.01,18.6,59.0,30,0,5.82
147,Cabo San Lucas,MX,2020-05-08 18:55:45,22.89,-109.91,87.8,20,5,6.93
148,Bredasdorp,ZA,2020-05-08 18:58:55,-34.53,20.04,64.4,88,9,3.36
149,Wukari,NG,2020-05-08 18:58:55,7.85,9.78,84.51,68,52,8.34
150,Mirante Do Paranapanema,BR,2020-05-08 18:58:55,-22.29,-51.91,75.2,29,0,6.93
151,Guilin,CN,2020-05-08 18:58:55,25.28,110.29,80.6,94,75,2.62
152,Smidovich,RU,2020-05-08 18:58:55,48.6,133.82,48.36,56,0,4.38
153,Saint Anthony,US,2020-05-08 18:58:55,45.02,-93.22,46.99,28,1,6.93
154,Kuantan,MY,2020-05-08 18:56:04,3.81,103.33,78.8,94,20,0.98
155,Pisco,PE,2020-05-08 18:58:55,-13.7,-76.22,71.6,73,7,12.75
156,Machali,CL,2020-05-08 18:58:56,-34.18,-70.67,75.2,27,100,8.05
157,Aloleng,PH,2020-05-08 18:58:56,16.13,119.78,83.75,77,42,5.68
158,Aragarcas,BR,2020-05-08 18:58:56,-15.9,-52.25,84.2,48,20,2.24
159,Sevlievo,BG,2020-05-08 18:58:56,43.03,25.11,53.01,72,10,3.98
160,Nuuk,GL,2020-05-08 18:58:56,64.18,-51.72,44.6,75,75,4.7
161,Amapa,BR,2020-05-08 18:58:56,1.0,-52.0,80.98,91,100,4.16
162,Kasulu,TZ,2020-05-08 18:58:56,-4.58,30.1,77.0,78,20,2.62
163,Conceicao Da Barra,BR,2020-05-08 18:58:56,-18.59,-39.73,70.07,86,100,9.84
164,Ust-Koksa,RU,2020-05-08 18:58:56,50.27,85.61,46.42,61,0,2.04
165,Airai,TL,2020-05-08 18:58:56,-8.93,125.41,55.99,84,0,3.13
166,Thompson,CA,2020-05-08 18:58:56,55.74,-97.86,30.2,68,75,9.17
167,Vila,PT,2020-05-08 18:58:57,42.03,-8.16,59.0,89,11,3.0
168,Hasaki,JP,2020-05-08 18:58:57,35.73,140.83,55.4,76,100,6.93
169,Kargala,RU,2020-05-08 18:58:57,56.62,83.96,52.0,66,0,6.49
170,Carutapera,BR,2020-05-08 18:58:57,-1.2,-46.02,82.96,83,100,4.52
171,Quatre Cocos,MU,2020-05-08 18:58:57,-20.21,57.76,73.4,94,20,4.7
172,Bahia Blanca,AR,2020-05-08 18:58:57,-38.72,-62.27,68.72,37,18,15.41
173,Nunkini,MX,2020-05-08 18:58:57,20.33,-90.18,91.4,49,40,11.41
174,Leh,IN,2020-05-08 18:58:57,34.17,77.58,41.95,53,3,3.67
175,Eyl,SO,2020-05-08 18:58:57,7.98,49.82,83.95,69,0,8.46
176,Cairns,AU,2020-05-08 18:58:58,-16.92,145.77,69.8,88,40,10.29
177,Harper,LR,2020-05-08 18:58:58,4.38,-7.72,82.29,79,19,8.21
178,Porto Novo,BJ,2020-05-08 18:58:58,6.5,2.6,86.0,79,20,10.29
179,Partizansk,RU,2020-05-08 18:58:58,43.13,133.13,48.87,84,100,1.92
180,Povenets,RU,2020-05-08 18:58:58,62.85,34.83,40.53,69,85,4.92
181,Pemangkat,ID,2020-05-08 18:55:59,1.17,108.97,79.9,85,100,3.96
182,Mandan,US,2020-05-08 18:56:48,46.83,-100.89,57.99,30,1,4.7
183,Erzin,TR,2020-05-08 18:58:58,36.96,36.2,66.99,72,97,5.1
184,Tsabong,BW,2020-05-08 18:58:58,-26.02,22.4,69.78,26,100,8.7
185,Pundaguitan,PH,2020-05-08 18:58:58,6.37,126.17,83.21,79,1,7.2
186,Seoul,KR,2020-05-08 18:56:58,37.57,126.98,57.2,87,90,11.41
187,Luderitz,NA,2020-05-08 18:58:58,-26.65,15.16,53.6,100,0,10.29
188,Lavrentiya,RU,2020-05-08 18:58:58,65.58,-171.0,33.42,90,100,12.86
189,Vila Franca Do Campo,PT,2020-05-08 18:58:59,37.72,-25.43,62.6,67,40,17.22
190,Boa Vista,BR,2020-05-08 18:58:42,2.82,-60.67,86.0,62,75,9.17
191,Bethel,US,2020-05-08 18:58:59,41.37,-73.41,50.0,49,90,11.41
192,Nanortalik,GL,2020-05-08 18:58:59,60.14,-45.24,40.95,74,79,5.32
193,East London,ZA,2020-05-08 18:58:59,-33.02,27.91,69.71,80,69,6.82
194,Camacha,PT,2020-05-08 18:58:59,33.08,-16.33,68.0,72,20,8.05
195,Pemba,MZ,2020-05-08 18:58:59,-12.97,40.52,77.9,80,0,18.07
196,Zlobin,HR,2020-05-08 18:58:59,45.29,14.65,64.99,63,85,0.94
197,Tuljapur,IN,2020-05-08 18:58:59,18.0,76.08,87.98,34,0,7.92
198,Bandarbeyla,SO,2020-05-08 18:58:59,9.49,50.81,83.28,72,0,10.13
199,Singapore,SG,2020-05-08 18:57:52,1.29,103.85,84.2,83,75,3.36
200,Muros,ES,2020-05-08 18:59:00,42.78,-9.06,66.0,84,99,5.01
201,Eyrarbakki,IS,2020-05-08 18:59:00,63.86,-21.15,48.99,28,20,14.99
202,Ust-Maya,RU,2020-05-08 18:59:00,60.42,134.53,33.3,96,100,3.8
203,Nianzishan,CN,2020-05-08 18:59:00,47.52,122.88,54.86,38,100,2.37
204,Klaksvik,FO,2020-05-08 18:59:00,62.23,-6.59,41.0,56,1,14.99
205,Kiama,AU,2020-05-08 18:59:00,-34.68,150.87,72.0,44,0,14.0
206,Mizan Teferi,ET,2020-05-08 18:59:00,6.98,35.58,64.22,92,100,1.95
207,Severo-Kurilsk,RU,2020-05-08 18:59:00,50.68,156.12,33.13,92,55,13.51
208,Tiksi,RU,2020-05-08 18:59:00,71.69,128.87,14.85,96,100,17.9
209,Freeport,US,2020-05-08 18:59:00,40.66,-73.58,52.0,53,90,5.82
210,Qaanaaq,GL,2020-05-08 18:59:01,77.48,-69.36,16.93,88,78,3.18
211,Salalah,OM,2020-05-08 18:59:01,17.02,54.09,84.2,89,20,3.36
212,Hastings,GB,2020-05-08 18:59:01,50.86,0.57,63.0,56,2,7.58
213,Cacoal,BR,2020-05-08 18:54:31,-11.44,-61.45,79.54,71,70,2.75
214,Ahipara,NZ,2020-05-08 18:59:01,-35.17,173.17,54.97,84,60,5.84
215,Dhemaji,IN,2020-05-08 18:59:01,27.48,94.58,70.72,76,48,1.39
216,Ilulissat,GL,2020-05-08 18:59:01,69.22,-51.1,32.0,83,5,9.17
217,Lang Son,VN,2020-05-08 18:59:01,21.83,106.73,78.35,87,99,5.32
218,Lamu,KE,2020-05-08 18:59:01,-2.27,40.9,80.64,82,100,18.77
219,High Level,CA,2020-05-08 18:59:01,58.52,-117.14,60.8,44,75,6.93
220,Lompoc,US,2020-05-08 18:59:02,34.64,-120.46,84.0,49,1,3.36
221,Hearst,CA,2020-05-08 18:59:02,49.68,-83.67,34.05,81,100,9.78
222,Churapcha,RU,2020-05-08 18:59:02,62.0,132.43,28.99,97,90,4.99
223,Pilar,BR,2020-05-08 18:59:02,-9.6,-35.96,86.0,58,40,6.93
224,Yelizovo,RU,2020-05-08 18:59:02,53.19,158.38,35.6,64,51,8.95
225,Sur,OM,2020-05-08 18:59:02,22.57,59.53,90.88,43,0,9.42
226,Banda Aceh,ID,2020-05-08 18:59:02,5.56,95.32,79.07,85,100,4.07
227,Pionerskiy,RU,2020-05-08 18:59:02,54.95,20.23,48.2,76,0,6.71
228,Peniche,PT,2020-05-08 18:59:02,39.36,-9.38,64.0,72,70,5.01
229,Sawakin,SD,2020-05-08 18:59:03,19.11,37.33,81.18,72,71,5.91
230,Hay River,CA,2020-05-08 18:57:18,60.82,-115.8,41.0,65,20,13.87
231,Talnakh,RU,2020-05-08 18:59:03,69.49,88.4,35.6,93,75,20.13
232,Kruisfontein,ZA,2020-05-08 18:59:03,-34.0,24.73,58.15,97,0,2.84
233,Wellington,NZ,2020-05-08 18:57:53,-41.29,174.78,53.01,93,81,4.7
234,Agadez,NE,2020-05-08 18:59:03,19.75,10.25,79.86,12,0,1.36
235,Belen,TR,2020-05-08 18:59:03,36.49,36.22,71.6,53,75,6.93
236,Pacifica,US,2020-05-08 18:56:48,37.61,-122.49,73.99,82,1,8.05
237,Boyolangu,ID,2020-05-08 18:59:03,-8.12,111.89,77.07,89,100,1.41
238,Rangapara,IN,2020-05-08 18:59:03,26.82,92.65,72.3,61,0,6.71
239,Khatanga,RU,2020-05-08 18:55:29,71.97,102.5,19.85,93,100,19.82
240,Kuytun,RU,2020-05-08 18:59:03,54.34,101.5,37.6,92,100,9.64
241,Ballina,AU,2020-05-08 18:59:04,-28.87,153.57,61.0,93,75,4.7
242,Auki,SB,2020-05-08 18:59:04,-8.77,160.7,78.67,86,25,3.18
243,Antofagasta,CL,2020-05-08 18:59:04,-23.65,-70.4,64.4,72,3,8.05
244,Kodiak,US,2020-05-08 18:58:31,57.79,-152.41,44.6,87,90,16.11
245,Mogok,MM,2020-05-08 18:59:04,22.92,96.5,66.09,54,0,1.72
246,Saint George,US,2020-05-08 18:57:54,37.1,-113.58,79.0,10,1,6.93
247,Mubi,NG,2020-05-08 18:59:04,10.27,13.26,85.77,45,0,4.74
248,Bayir,TR,2020-05-08 18:59:04,37.27,28.22,69.8,32,0,8.05
249,Chimbote,PE,2020-05-08 18:59:04,-9.09,-78.58,74.52,70,7,11.52
250,Petropavlovsk-Kamchatskiy,RU,2020-05-08 18:59:04,53.05,158.65,35.6,64,86,8.95
251,Derzhavinsk,KZ,2020-05-08 18:59:04,51.1,66.32,64.04,45,3,18.28
252,Marawi,PH,2020-05-08 18:59:04,8.0,124.29,80.01,84,46,1.99
253,Kismayo,SO,2020-05-08 18:59:05,-0.36,42.55,80.87,84,100,13.31
254,Kenai,US,2020-05-08 18:59:05,60.55,-151.26,53.6,46,1,14.99
255,Port Blair,IN,2020-05-08 18:59:05,11.67,92.75,84.02,76,100,3.78
256,The Valley,AI,2020-05-08 18:59:05,18.22,-63.06,87.8,66,40,14.99
257,Gizo,SB,2020-05-08 18:59:05,-8.1,156.84,82.2,77,8,6.35
258,Praia Da Vitoria,PT,2020-05-08 18:59:05,38.73,-27.07,68.0,56,40,20.87
259,Saurimo,AO,2020-05-08 18:54:06,-9.66,20.39,69.48,72,1,3.91
260,Katsuura,JP,2020-05-08 18:59:05,35.13,140.3,63.0,67,75,13.87
261,Karratha,AU,2020-05-08 18:59:05,-20.74,116.85,75.36,61,47,5.21
262,Jadu,LY,2020-05-08 18:59:05,31.95,12.03,77.45,25,58,25.34
263,Hamilton,US,2020-05-08 18:59:05,39.18,-84.53,50.0,76,90,4.7
264,Kloulklubed,PW,2020-05-08 18:59:05,7.04,134.26,80.6,83,75,13.87
265,Emerald,AU,2020-05-08 18:59:06,-23.53,148.17,59.0,93,40,4.7
266,Tomatlan,MX,2020-05-08 18:59:06,19.93,-105.25,94.08,35,0,10.42
267,Aripuana,BR,2020-05-08 18:59:06,-9.17,-60.63,86.14,57,83,3.04
268,Turukhansk,RU,2020-05-08 18:59:06,65.82,87.98,41.97,96,100,12.21
269,Rio Grande City,US,2020-05-08 18:59:06,26.38,-98.82,95.0,47,100,5.01
270,Henties Bay,NA,2020-05-08 18:59:06,-22.12,14.28,68.99,51,0,7.52
271,Hofn,IS,2020-05-08 18:59:06,64.25,-15.21,41.0,41,40,17.22
272,Mogwase,ZA,2020-05-08 18:59:06,-25.18,27.27,63.93,43,2,2.06
273,Solhan,TR,2020-05-08 18:59:06,38.96,41.03,50.76,74,90,5.79
274,Geraldton,AU,2020-05-08 18:59:06,-28.77,114.6,51.8,76,0,9.17
275,Arlit,NE,2020-05-08 18:59:06,18.74,7.39,93.33,9,0,8.95
276,Bilibino,RU,2020-05-08 18:59:07,68.05,166.44,24.13,92,0,3.4
277,Colquechaca,BO,2020-05-08 18:59:07,-18.67,-66.02,47.41,50,0,5.44
278,La Ronge,CA,2020-05-08 18:59:07,55.1,-105.28,41.0,48,90,4.7
279,Bakau,GM,2020-05-08 18:59:07,13.48,-16.68,78.8,69,87,16.11
280,General Roca,AR,2020-05-08 18:59:07,-39.03,-67.58,68.0,37,100,2.24
281,Vredendal,ZA,2020-05-08 18:59:07,-31.67,18.5,67.73,37,0,5.26
282,Yermekeyevo,RU,2020-05-08 18:59:07,54.08,53.67,59.63,46,52,5.82
283,Yerbogachen,RU,2020-05-08 18:59:07,61.28,108.01,28.54,84,0,2.35
